nome,price,old_price,average_year,var_year,std_year,average_six_months,var_six_months,std_six_months,average_three_months,var_three_months,std_three_months,status
"Smart TV 65"" 4K LG NanoCell Bluetooth ThinQ AI Alexa Google Assistente Airplay 3 HDMIs - 65NANO77SRA",3200.03,3899,3753.37,212448,461,3753.37,212447.53,460.92,3425.16,27376.97,165.46,FINISHED
Smart TV 70” 4K UHD D-LED Philips Wi-fi Bluetooth Google Assistente - 70PUG7406/78,3150.71,6899,7147.83,312832,559,7212.2,313940.0,560.3,7404.1,358285.51,598.57,FINISHED
"Smartphone Samsung Galaxy S23 128GB 8GB 5G Tela Infinita de 6.1""",3054.9,5999,3198.95,40482,201,3159.15,77338.49,278.1,3079.11,141864.53,376.65,FINISHED
"Notebook Lenovo Ultrafino Ideapad 3 Ryzen 7-5700U 12GB SSD 512GB AMD Radeon Graphics Tela 15.6"" FHD Linux - 82MFS00600",2081.45,2839,2278.36,11224,106,2278.36,11223.6,105.94,2278.36,11223.6,105.94,FINISHED
"Notebook Lenovo Ultrafino Ideapad 3 Ryzen 7-5700U 12GB SSD 512GB AMD Radeon Graphics Tela 15.6"" FHD Linux - 82MFS00600",2164,2839,2278.36,11224,106,2278.36,11223.6,105.94,2278.36,11223.6,105.94,FINISHED
"Notebook Lenovo Ultrafino Ideapad 3 Ryzen 7-5700U 12GB SSD 512GB AMD Radeon Graphics Tela 15.6"" FHD Linux - 82MFS00600",2191,2839,2278.36,11224,106,2278.36,11223.6,105.94,2278.36,11223.6,105.94,FINISHED
iPhone 11 64GB iOS Câmera 12MP - Apple + Chip - Triplo Corte Claro 5G Pré-Pago,2565.95,4749.9,2459.03,77826,279,2288.92,61653.72,248.3,2156.64,35006.78,187.1,FINISHED
"Smartphone Motorola Moto G53 128GB 4GB RAM 5G NFC Tela de 65""",704.79,1099,1314.98,157148,396,997.45,12210.01,110.5,910.98,5865.68,76.59,FINISHED
Perfume Masculino Paco Rabanne Invictus EDT - 200ml,435.1,848.9,671.94,13091,114,573.35,1080.96,32.88,573.35,1080.96,32.88,FINISHED
Sofá Retrátil Reclinável 3 Lugares Veludo Medelín Besthouse,1048.1,1423.8,1044.54,3328,58,1044.54,3327.84,57.69,1044.54,3327.84,57.69,FINISHED
"Smartwatch Samsung Galaxy Watch 6 BT 40mm Tela Super AMOLED de 1.31""",718.9,2919,1725.01,126525,356,1725.01,126525.06,355.7,1548.26,51387.14,226.69,FINISHED
"Smartphone Motorola Moto G84 5G 8GB RAM 256GB Tela 655""",1499,1788.58,1565.91,33432,183,1565.91,33431.94,182.84,1565.91,33431.94,182.84,FINISHED
"Smartphone Samsung Galaxy A04e 64GB 3GB RAM Tela Infinita de 6.5"" Dual Chip",458.23,1083,668.39,10495,102,604.66,1912.89,43.74,576.09,1233.52,35.12,FINISHED
"Smart TV Samsung 43"" Crystal UHD 4K 43CU8000 2023 Design AirSlim Painel Dynamic Crystal Color Tela",1529.23,3149,1970.19,37671,194,1920.65,30167.31,173.69,1863.78,49040.01,221.45,FINISHED
Smartphone Samsung Galaxy M14 5G 128GB 4GB RAM Tela Infinita de 6.6 Dual Chip,801.17,1872,993.56,17269,131,929.0,4230.94,65.05,901.29,939.1,30.64,FINISHED
"Smartphone Motorola Moto G53 128GB 4GB RAM 5G NFC Tela de 65""",662.29,1099,1314.98,157148,396,997.45,12210.01,110.5,910.98,5865.68,76.59,FINISHED
Suporte North Bayou Nb F80 De Mesa Para Tv/monitor De 17 Até 30 Preto,91.14,149.9,129.99,0,0,129.99,0.0,0.0,129.99,0.0,0.0,FINISHED
"Smart TV Samsung 43"" Crystal UHD 4K 2023 Painel Dynamic Crystal Color - UN43CU8000GXZD",1529,3149,1970.19,37671,194,1920.65,30167.31,173.69,1863.78,49040.01,221.45,FINISHED
Smartphone Samsung Galaxy M54 5G 128GB 8GB RAM 67'',1452.74,3351,1667.12,40784,202,1557.44,6626.29,81.4,1571.7,4080.91,63.88,FINISHED
Perfume Feminino Nina Rouge Nina Ricci EDT - 30ml,217.93,289,423.41,1198,35,445.17,799.6,28.28,436.17,0.66,0.81,FINISHED
Ar Condicionado Split Inverter LG Hi Wall DUAL Compact +AI 9000 BTUs Frio S3-Q12JAQAL - 220V,2159.11,3945.16,2149.38,23745,154,2149.38,23744.55,154.09,2149.38,23744.55,154.09,FINISHED
Ar Condicionado Split Inverter LG Hi Wall DUAL Compact +AI 9000 BTUs Frio S3-Q12JAQAL - 220V,2159.11,2945.16,2149.38,23745,154,2149.38,23744.55,154.09,2149.38,23744.55,154.09,FINISHED
Lavadora Samsung WW4000 Digital Inverter Inox Look 11kg - WW11J4473PX,2672.19,4599,3123.54,16165,127,3116.95,17657.85,132.88,3090.49,19880.23,141.0,APPROVED
Fritadeira Elétrica Air Fryer Nell Smart - 24L,231.83,449.9,256.84,1425,38,238.62,689.74,26.26,236.43,1335.69,36.55,APPROVED
Lavadora Samsung WW4000 Digital Inverter Inox Look 11kg - WW11J4473PX,2969.1,4599,3123.54,16165,127,3116.95,17657.85,132.88,3090.49,19880.23,141.0,APPROVED
Lava e Seca Samsung 11Kg Inox Look - WD11A4453BX,4229.06,6799,4001.03,40873,202,4133.76,40182.14,200.45,4069.49,53520.36,231.34,APPROVED
Tênis Olympikus Diffuse 4 Unissex,143.99,299.99,121.6,47,7,121.6,47.33,6.88,121.6,47.33,6.88,APPROVED
Jogo Cyberpunk 2077 - PS4 & PS5,120.95,279.9,132.3,835,29,136.94,638.03,25.26,132.79,1041.27,32.27,APPROVED
Bicicleta Infantil Aro 20 Caloi Ceci Branca,797.9,959.99,764.58,3240,57,766.13,3029.81,55.04,745.79,2985.88,54.64,APPROVED
Fogão 5 bocas Dako Magister Style com Mesa de Vidro e Tripla Chama - Bivolt,1457.19,2369,1708.66,9422,97,1701.04,17722.75,133.13,1695.43,9680.99,98.39,APPROVED
Kit 4 Chinelo Borracha Polo Culture Estampado Antiderrapante,51.15,74.9,52.92,2,1,52.92,1.98,1.41,52.92,1.98,1.41,APPROVED
Jogo de Taças para Vinho Vidro 385ml 6 Peças - Nadir Barone,48.4,64.99,91.01,110,11,98.28,0.24,0.49,98.28,0.24,0.49,APPROVED
Caixa de Bombom Lacta Favoritos,10.99,15.29,10.33,1,1,10.33,0.66,0.81,10.33,0.66,0.81,APPROVED
Sanduicheira Amvox AMS 370 Preta 750W,77.5,119.9,117.9,8,3,119.24,0.0,0.0,119.24,0.0,0.0,APPROVED
Refrigerador Philco 498 Litros French Door Inox PRF510I 127 Volts,6818.24,8857,5405.36,565434,752,5541.72,813484.0,901.93,5985.66,939940.34,969.51,APPROVED
Lavadora de Alta Pressão Electrolux Power Wash Plus 1800 PSI Bico Turbo e Escova Giratória - EWS31,479,749,441.14,460,21,433.31,554.99,23.56,423.54,662.16,25.73,APPROVED
"Smart TV HQ 60"" 4K Android 11 Sistema Ultrasound Design Slim HQSTV60NK",1979.1,2565.5,2323.66,85112,292,2417.17,131181.27,362.19,2293.22,113228.89,336.5,APPROVED
Tanquinho/Máquina de Lavar Roupas Semi-Automática 205Kg Newmaq Branca,477.34,599,517.23,1362,37,490.09,479.42,21.9,482.52,517.84,22.76,APPROVED
Geladeira/Refrigerador LG Frost Free Duplex 395L - GN-B392PLM,2999,4380.02,2999.3,1676,41,2999.6,3333.12,57.73,3000.2,6665.52,81.64,APPROVED
"Smartphone Samsung Galaxy S23 FE 5G 8GB RAM 256GB Tela infinita 6.4""",3644.1,4499,3972.62,10086,100,3947.45,18788.49,137.07,3896.84,32452.9,180.15,APPROVED
Faqueiro Inox Malibu 85 Peças - Tramontina,185.31,215.9,209.04,1939,44,203.56,351.49,18.75,195.22,405.97,20.15,APPROVED
"Smartphone Samsung Galaxy M54 5G 128GB 8GB RAM Tela Infinita de 6.7"" Dual Chip",1307.46,3351,1667.12,40784,202,1557.44,6626.29,81.4,1571.7,4080.91,63.88,APPROVED
Pneu Jk Tyre Aro 14 Vectra 175/65R14 82T,292.41,361,326.2,367,19,317.78,287.54,16.96,310.04,416.85,20.42,APPROVED
"Notebook Gamer Lenovo Gaming 3i i5-11300H 8GB SSD 512GB Geforce GTX 1650 Tela 156"" FHD W11 - 82MG0009BR",3356.1,6399,3755.28,49032,221,3604.48,27505.92,165.85,3506.19,17799.47,133.41,APPROVED
"Tablet Vaio TL10 com Teclado 104"" 128GB 8GB RAM Android 13 Octa-Core Wi-Fi 4G",1561.47,2299,1576.84,5905,77,1576.84,5904.74,76.84,1576.84,5904.74,76.84,APPROVED
Tênis Olympikus Glam 3 Feminino,123.49,229.99,152.91,0,0,152.91,0.0,0.0,152.91,0.0,0.0,APPROVED
"Smart TV 50"" Samsung UHD 4K 3 HDMI 1 USB Bluetooth Wi-Fi Gaming Hub Tela sem limites Alexa built in - UN50CU7700GXZD",2374.05,3749,2347.07,45257,213,2271.07,7214.19,84.94,2217.19,6445.2,80.28,APPROVED
Purificador de Água Electrolux Pure 4x Branco Refrigerado Bivolt - PE12B,494.1,749,567.89,2416,49,541.87,1439.25,37.94,521.12,1155.66,34.0,APPROVED
Mala Yins Brasil Convoy Sport Mesh,75.99,139.99,697.88,0,0,697.88,0.0,0.0,697.88,0.0,0.0,APPROVED
Jogo de Panelas Brinox Revestimento Cerâmico de Alumínio Vanilla Optima - 5 Peças,523.7,899.9,569.6,1955,44,549.26,642.73,25.35,540.95,750.59,27.4,APPROVED
Refrigerador Geladeira Brastemp Frost Free 443 litros - BRE57AB,3689.1,7209,3768.95,39228,198,3678.8,43934.97,209.61,3629.31,38444.29,196.07,APPROVED
Caixa de Som JBL Partybox Encore Essential 100W RMS Bluetooth LED - 28913611,1299.99,1499.99,1446.45,16507,128,1353.69,6601.65,81.25,1305.82,2740.59,52.35,APPROVED
Teclado e Mouse Sem Fio Microsoft 850 ABNT 2 - PY900021,159.99,211.75,141.12,364,19,141.12,364.05,19.08,141.12,364.05,19.08,APPROVED
Fogão Esmaltec 4 Bocas Branco - Bali,585.72,899,538.18,1048,32,533.28,1130.1,33.62,530.5,705.52,26.56,APPROVED
SSD 240 GB Adata SU650 SATA Leitura: 520MB/s e Gravação: 450MB/s - ASU650SS-240GT-R,109.99,176.46,104.12,63,8,104.12,63.21,7.95,104.12,63.21,7.95,APPROVED
Guarda Roupa Casal com 6 Portas 2 Gavetas Panamá - Moval,467.1,879,521.87,620,25,532.15,235.05,15.33,529.67,147.71,12.15,APPROVED
Purificador de Água Pure 4x Electrolux - PE12A,610.06,809,567.89,2416,49,541.87,1439.25,37.94,521.12,1155.66,34.0,APPROVED
Piscina Infantil Inflável Redonda Jilong 1000L,181.29,249.99,173.49,254,16,175.09,181.84,13.48,178.05,207.71,14.41,APPROVED
Tênis Asics Raiden 3 - Feminino,178.59,329.99,200.68,252,16,204.95,204.67,14.31,201.37,178.27,13.35,APPROVED
Piscina Infantil Estruturada Retangular Mor 1000L,225.39,384.9,229.89,65,8,225.23,34.83,5.9,223.24,61.69,7.85,APPROVED
Smart TV 70 4K UHD D-LED Philips 7406,3207.71,6899,4031.72,136212,369,3831.74,67643.64,260.08,3681.64,85830.44,292.97,FINISHED
Pneu Aro 16 185/55R16 Westlake 83V Z-108,232.41,357,315.46,4803,69,294.2,1073.95,32.77,319.13,587.19,24.23,FINISHED
Marmita com Divisórias Electrolux - A15338201,29,49.9,31.92,8,3,33.3,03.07,1.75,33.12,2.75,1.66,FINISHED
Jogo de Panelas Brinox Revestimento Cerâmico de Alumínio Vanilla 5 Peças Optima,489.9,899.9,569.6,1955,44,549.26,642.73,25.35,540.95,750.59,27.4,FINISHED
Controle para PS4 e PC Sem Fio Dualshock 4 Sony,231.82,399.9,243.55,466,22,246.25,319.66,17.88,246.31,194.04,13.93,FINISHED
Cooktop Consul 5 Bocas Vidro Preto Chama Rápida Bivolt,489,575.29,497.28,1296,36,492.83,1483.79,38.52,471.85,1418.2,37.66,FINISHED
"Smart TV 65"" 4K LG NanoCell Bluetooth ThinQ AI Alexa Google Assistente Airplay 3 HDMIs - 65NANO77SRA",3200.03,3899,3753.37,212448,461,3753.37,212447.53,460.92,3425.16,27376.97,165.46,FINISHED
Smart TV 70” 4K UHD D-LED Philips Wi-fi Bluetooth Google Assistente - 70PUG7406/78,3150.71,6899,7147.83,312832,559,7212.2,313940.0,560.3,7404.1,358285.51,598.57,FINISHED
"Smartphone Samsung Galaxy S23 128GB 8GB 5G Tela Infinita de 6.1""",3054.9,5999,3198.95,40482,201,3159.15,77338.49,278.1,3079.11,141864.53,376.65,FINISHED
"Notebook Lenovo Ultrafino Ideapad 3 Ryzen 7-5700U 12GB SSD 512GB AMD Radeon Graphics Tela 15.6"" FHD Linux - 82MFS00600",2081.45,2839,2278.36,11224,106,2278.36,11223.6,105.94,2278.36,11223.6,105.94,FINISHED
"Notebook Lenovo Ultrafino Ideapad 3 Ryzen 7-5700U 12GB SSD 512GB AMD Radeon Graphics Tela 15.6"" FHD Linux - 82MFS00600",2164,2839,2278.36,11224,106,2278.36,11223.6,105.94,2278.36,11223.6,105.94,FINISHED
"Notebook Lenovo Ultrafino Ideapad 3 Ryzen 7-5700U 12GB SSD 512GB AMD Radeon Graphics Tela 15.6"" FHD Linux - 82MFS00600",2191,2839,2278.36,11224,106,2278.36,11223.6,105.94,2278.36,11223.6,105.94,FINISHED
iPhone 11 64GB iOS Câmera 12MP - Apple + Chip - Triplo Corte Claro 5G Pré-Pago,2565.95,4749.9,2459.03,77826,279,2288.92,61653.72,248.3,2156.64,35006.78,187.1,FINISHED
"Smartphone Motorola Moto G53 128GB 4GB RAM 5G NFC Tela de 65""",704.79,1099,1314.98,157148,396,997.45,12210.01,110.5,910.98,5865.68,76.59,FINISHED
Perfume Masculino Paco Rabanne Invictus EDT - 200ml,435.1,848.9,671.94,13091,114,573.35,1080.96,32.88,573.35,1080.96,32.88,FINISHED
Sofá Retrátil Reclinável 3 Lugares Veludo Medelín Besthouse,1048.1,1423.8,1044.54,3328,58,1044.54,3327.84,57.69,1044.54,3327.84,57.69,FINISHED
"Smartwatch Samsung Galaxy Watch 6 BT 40mm Tela Super AMOLED de 1.31""",718.9,2919,1725.01,126525,356,1725.01,126525.06,355.7,1548.26,51387.14,226.69,FINISHED
"Smartphone Motorola Moto G84 5G 8GB RAM 256GB Tela 655""",1499,1788.58,1565.91,33432,183,1565.91,33431.94,182.84,1565.91,33431.94,182.84,FINISHED
"Smartphone Samsung Galaxy A04e 64GB 3GB RAM Tela Infinita de 6.5"" Dual Chip",458.23,1083,668.39,10495,102,604.66,1912.89,43.74,576.09,1233.52,35.12,FINISHED
"Smart TV Samsung 43"" Crystal UHD 4K 43CU8000 2023 Design AirSlim Painel Dynamic Crystal Color Tela",1529.23,3149,1970.19,37671,194,1920.65,30167.31,173.69,1863.78,49040.01,221.45,FINISHED
Smartphone Samsung Galaxy M14 5G 128GB 4GB RAM Tela Infinita de 6.6 Dual Chip,801.17,1872,993.56,17269,131,929.0,4230.94,65.05,901.29,939.1,30.64,FINISHED
"Smartphone Motorola Moto G53 128GB 4GB RAM 5G NFC Tela de 65""",662.29,1099,1314.98,157148,396,997.45,12210.01,110.5,910.98,5865.68,76.59,FINISHED
Suporte North Bayou Nb F80 De Mesa Para Tv/monitor De 17 Até 30 Preto,91.14,149.9,129.99,0,0,129.99,0.0,0.0,129.99,0.0,0.0,FINISHED
"Smart TV Samsung 43"" Crystal UHD 4K 2023 Painel Dynamic Crystal Color - UN43CU8000GXZD",1529,3149,1970.19,37671,194,1920.65,30167.31,173.69,1863.78,49040.01,221.45,FINISHED
Smartphone Samsung Galaxy M54 5G 128GB 8GB RAM 67'',1452.74,3351,1667.12,40784,202,1557.44,6626.29,81.4,1571.7,4080.91,63.88,FINISHED
Perfume Feminino Nina Rouge Nina Ricci EDT - 30ml,217.93,289,423.41,1198,35,445.17,799.6,28.28,436.17,0.66,0.81,FINISHED
Ar Condicionado Split Inverter LG Hi Wall DUAL Compact +AI 9000 BTUs Frio S3-Q12JAQAL - 220V,2159.11,3945.16,2149.38,23745,154,2149.38,23744.55,154.09,2149.38,23744.55,154.09,FINISHED
Ar Condicionado Split Inverter LG Hi Wall DUAL Compact +AI 9000 BTUs Frio S3-Q12JAQAL - 220V,2159.11,2945.16,2149.38,23745,154,2149.38,23744.55,154.09,2149.38,23744.55,154.09,FINISHED
Lavadora Samsung WW4000 Digital Inverter Inox Look 11kg - WW11J4473PX,2672.19,4599,3123.54,16165,127,3116.95,17657.85,132.88,3090.49,19880.23,141.0,APPROVED
Fritadeira Elétrica Air Fryer Nell Smart - 24L,231.83,449.9,256.84,1425,38,238.62,689.74,26.26,236.43,1335.69,36.55,APPROVED
Lavadora Samsung WW4000 Digital Inverter Inox Look 11kg - WW11J4473PX,2969.1,4599,3123.54,16165,127,3116.95,17657.85,132.88,3090.49,19880.23,141.0,APPROVED
Lava e Seca Samsung 11Kg Inox Look - WD11A4453BX,4229.06,6799,4001.03,40873,202,4133.76,40182.14,200.45,4069.49,53520.36,231.34,APPROVED
Tênis Olympikus Diffuse 4 Unissex,143.99,299.99,121.6,47,7,121.6,47.33,6.88,121.6,47.33,6.88,APPROVED
Jogo Cyberpunk 2077 - PS4 & PS5,120.95,279.9,132.3,835,29,136.94,638.03,25.26,132.79,1041.27,32.27,APPROVED
Bicicleta Infantil Aro 20 Caloi Ceci Branca,797.9,959.99,764.58,3240,57,766.13,3029.81,55.04,745.79,2985.88,54.64,APPROVED
Fogão 5 bocas Dako Magister Style com Mesa de Vidro e Tripla Chama - Bivolt,1457.19,2369,1708.66,9422,97,1701.04,17722.75,133.13,1695.43,9680.99,98.39,APPROVED
Kit 4 Chinelo Borracha Polo Culture Estampado Antiderrapante,51.15,74.9,52.92,2,1,52.92,1.98,1.41,52.92,1.98,1.41,APPROVED
Jogo de Taças para Vinho Vidro 385ml 6 Peças - Nadir Barone,48.4,64.99,91.01,110,11,98.28,0.24,0.49,98.28,0.24,0.49,APPROVED
Caixa de Bombom Lacta Favoritos,10.99,15.29,10.33,1,1,10.33,0.66,0.81,10.33,0.66,0.81,APPROVED
Sanduicheira Amvox AMS 370 Preta 750W,77.5,119.9,117.9,8,3,119.24,0.0,0.0,119.24,0.0,0.0,APPROVED
Refrigerador Philco 498 Litros French Door Inox PRF510I 127 Volts,6818.24,8857,5405.36,565434,752,5541.72,813484.0,901.93,5985.66,939940.34,969.51,APPROVED
Lavadora de Alta Pressão Electrolux Power Wash Plus 1800 PSI Bico Turbo e Escova Giratória - EWS31,479,749,441.14,460,21,433.31,554.99,23.56,423.54,662.16,25.73,APPROVED
"Smart TV HQ 60"" 4K Android 11 Sistema Ultrasound Design Slim HQSTV60NK",1979.1,2565.5,2323.66,85112,292,2417.17,131181.27,362.19,2293.22,113228.89,336.5,APPROVED
Tanquinho/Máquina de Lavar Roupas Semi-Automática 205Kg Newmaq Branca,477.34,599,517.23,1362,37,490.09,479.42,21.9,482.52,517.84,22.76,APPROVED
Geladeira/Refrigerador LG Frost Free Duplex 395L - GN-B392PLM,2999,4380.02,2999.3,1676,41,2999.6,3333.12,57.73,3000.2,6665.52,81.64,APPROVED
"Smartphone Samsung Galaxy S23 FE 5G 8GB RAM 256GB Tela infinita 6.4""",3644.1,4499,3972.62,10086,100,3947.45,18788.49,137.07,3896.84,32452.9,180.15,APPROVED
Faqueiro Inox Malibu 85 Peças - Tramontina,185.31,215.9,209.04,1939,44,203.56,351.49,18.75,195.22,405.97,20.15,APPROVED
"Smartphone Samsung Galaxy M54 5G 128GB 8GB RAM Tela Infinita de 6.7"" Dual Chip",1307.46,3351,1667.12,40784,202,1557.44,6626.29,81.4,1571.7,4080.91,63.88,APPROVED
Pneu Jk Tyre Aro 14 Vectra 175/65R14 82T,292.41,361,326.2,367,19,317.78,287.54,16.96,310.04,416.85,20.42,APPROVED
"Notebook Gamer Lenovo Gaming 3i i5-11300H 8GB SSD 512GB Geforce GTX 1650 Tela 156"" FHD W11 - 82MG0009BR",3356.1,6399,3755.28,49032,221,3604.48,27505.92,165.85,3506.19,17799.47,133.41,APPROVED
"Tablet Vaio TL10 com Teclado 104"" 128GB 8GB RAM Android 13 Octa-Core Wi-Fi 4G",1561.47,2299,1576.84,5905,77,1576.84,5904.74,76.84,1576.84,5904.74,76.84,APPROVED
Tênis Olympikus Glam 3 Feminino,123.49,229.99,152.91,0,0,152.91,0.0,0.0,152.91,0.0,0.0,APPROVED
"Smart TV 50"" Samsung UHD 4K 3 HDMI 1 USB Bluetooth Wi-Fi Gaming Hub Tela sem limites Alexa built in - UN50CU7700GXZD",2374.05,3749,2347.07,45257,213,2271.07,7214.19,84.94,2217.19,6445.2,80.28,APPROVED
Purificador de Água Electrolux Pure 4x Branco Refrigerado Bivolt - PE12B,494.1,749,567.89,2416,49,541.87,1439.25,37.94,521.12,1155.66,34.0,APPROVED
Mala Yins Brasil Convoy Sport Mesh,75.99,139.99,697.88,0,0,697.88,0.0,0.0,697.88,0.0,0.0,APPROVED
Jogo de Panelas Brinox Revestimento Cerâmico de Alumínio Vanilla Optima - 5 Peças,523.7,899.9,569.6,1955,44,549.26,642.73,25.35,540.95,750.59,27.4,APPROVED
Refrigerador Geladeira Brastemp Frost Free 443 litros - BRE57AB,3689.1,7209,3768.95,39228,198,3678.8,43934.97,209.61,3629.31,38444.29,196.07,APPROVED
Caixa de Som JBL Partybox Encore Essential 100W RMS Bluetooth LED - 28913611,1299.99,1499.99,1446.45,16507,128,1353.69,6601.65,81.25,1305.82,2740.59,52.35,APPROVED
Teclado e Mouse Sem Fio Microsoft 850 ABNT 2 - PY900021,159.99,211.75,141.12,364,19,141.12,364.05,19.08,141.12,364.05,19.08,APPROVED
Fogão Esmaltec 4 Bocas Branco - Bali,585.72,899,538.18,1048,32,533.28,1130.1,33.62,530.5,705.52,26.56,APPROVED
SSD 240 GB Adata SU650 SATA Leitura: 520MB/s e Gravação: 450MB/s - ASU650SS-240GT-R,109.99,176.46,104.12,63,8,104.12,63.21,7.95,104.12,63.21,7.95,APPROVED
Guarda Roupa Casal com 6 Portas 2 Gavetas Panamá - Moval,467.1,879,521.87,620,25,532.15,235.05,15.33,529.67,147.71,12.15,APPROVED
Purificador de Água Pure 4x Electrolux - PE12A,610.06,809,567.89,2416,49,541.87,1439.25,37.94,521.12,1155.66,34.0,APPROVED
Piscina Infantil Inflável Redonda Jilong 1000L,181.29,249.99,173.49,254,16,175.09,181.84,13.48,178.05,207.71,14.41,APPROVED
Tênis Asics Raiden 3 - Feminino,178.59,329.99,200.68,252,16,204.95,204.67,14.31,201.37,178.27,13.35,APPROVED
Piscina Infantil Estruturada Retangular Mor 1000L,225.39,384.9,229.89,65,8,225.23,34.83,5.9,223.24,61.69,7.85,APPROVED
Smart TV 70 4K UHD D-LED Philips 7406,3207.71,6899,4031.72,136212,369,3831.74,67643.64,260.08,3681.64,85830.44,292.97,FINISHED
Pneu Aro 16 185/55R16 Westlake 83V Z-108,232.41,357,315.46,4803,69,294.2,1073.95,32.77,319.13,587.19,24.23,FINISHED
Marmita com Divisórias Electrolux - A15338201,29,49.9,31.92,8,3,33.3,03.07,1.75,33.12,2.75,1.66,FINISHED
Jogo de Panelas Brinox Revestimento Cerâmico de Alumínio Vanilla 5 Peças Optima,489.9,899.9,569.6,1955,44,549.26,642.73,25.35,540.95,750.59,27.4,FINISHED
Controle para PS4 e PC Sem Fio Dualshock 4 Sony,231.82,399.9,243.55,466,22,246.25,319.66,17.88,246.31,194.04,13.93,FINISHED
Cooktop Consul 5 Bocas Vidro Preto Chama Rápida Bivolt,489,575.29,497.28,1296,36,492.83,1483.79,38.52,471.85,1418.2,37.66,FINISHED
"Smart TV 65"" 4K LG NanoCell Bluetooth ThinQ AI Alexa Google Assistente Airplay 3 HDMIs - 65NANO77SRA",3200.03,3899,3753.37,212448,461,3753.37,212447.53,460.92,3425.16,27376.97,165.46,FINISHED
Smart TV 70” 4K UHD D-LED Philips Wi-fi Bluetooth Google Assistente - 70PUG7406/78,3150.71,6899,7147.83,312832,559,7212.2,313940.0,560.3,7404.1,358285.51,598.57,FINISHED
"Smartphone Samsung Galaxy S23 128GB 8GB 5G Tela Infinita de 6.1""",3054.9,5999,3198.95,40482,201,3159.15,77338.49,278.1,3079.11,141864.53,376.65,FINISHED
"Notebook Lenovo Ultrafino Ideapad 3 Ryzen 7-5700U 12GB SSD 512GB AMD Radeon Graphics Tela 15.6"" FHD Linux - 82MFS00600",2081.45,2839,2278.36,11224,106,2278.36,11223.6,105.94,2278.36,11223.6,105.94,FINISHED
"Notebook Lenovo Ultrafino Ideapad 3 Ryzen 7-5700U 12GB SSD 512GB AMD Radeon Graphics Tela 15.6"" FHD Linux - 82MFS00600",2164,2839,2278.36,11224,106,2278.36,11223.6,105.94,2278.36,11223.6,105.94,FINISHED
"Notebook Lenovo Ultrafino Ideapad 3 Ryzen 7-5700U 12GB SSD 512GB AMD Radeon Graphics Tela 15.6"" FHD Linux - 82MFS00600",2191,2839,2278.36,11224,106,2278.36,11223.6,105.94,2278.36,11223.6,105.94,FINISHED
iPhone 11 64GB iOS Câmera 12MP - Apple + Chip - Triplo Corte Claro 5G Pré-Pago,2565.95,4749.9,2459.03,77826,279,2288.92,61653.72,248.3,2156.64,35006.78,187.1,FINISHED
"Smartphone Motorola Moto G53 128GB 4GB RAM 5G NFC Tela de 65""",704.79,1099,1314.98,157148,396,997.45,12210.01,110.5,910.98,5865.68,76.59,FINISHED
Perfume Masculino Paco Rabanne Invictus EDT - 200ml,435.1,848.9,671.94,13091,114,573.35,1080.96,32.88,573.35,1080.96,32.88,FINISHED
Sofá Retrátil Reclinável 3 Lugares Veludo Medelín Besthouse,1048.1,1423.8,1044.54,3328,58,1044.54,3327.84,57.69,1044.54,3327.84,57.69,FINISHED
"Smartwatch Samsung Galaxy Watch 6 BT 40mm Tela Super AMOLED de 1.31""",718.9,2919,1725.01,126525,356,1725.01,126525.06,355.7,1548.26,51387.14,226.69,FINISHED
"Smartphone Motorola Moto G84 5G 8GB RAM 256GB Tela 655""",1499,1788.58,1565.91,33432,183,1565.91,33431.94,182.84,1565.91,33431.94,182.84,FINISHED
"Smartphone Samsung Galaxy A04e 64GB 3GB RAM Tela Infinita de 6.5"" Dual Chip",458.23,1083,668.39,10495,102,604.66,1912.89,43.74,576.09,1233.52,35.12,FINISHED
"Smart TV Samsung 43"" Crystal UHD 4K 43CU8000 2023 Design AirSlim Painel Dynamic Crystal Color Tela",1529.23,3149,1970.19,37671,194,1920.65,30167.31,173.69,1863.78,49040.01,221.45,FINISHED
Smartphone Samsung Galaxy M14 5G 128GB 4GB RAM Tela Infinita de 6.6 Dual Chip,801.17,1872,993.56,17269,131,929.0,4230.94,65.05,901.29,939.1,30.64,FINISHED
"Smartphone Motorola Moto G53 128GB 4GB RAM 5G NFC Tela de 65""",662.29,1099,1314.98,157148,396,997.45,12210.01,110.5,910.98,5865.68,76.59,FINISHED
Suporte North Bayou Nb F80 De Mesa Para Tv/monitor De 17 Até 30 Preto,91.14,149.9,129.99,0,0,129.99,0.0,0.0,129.99,0.0,0.0,FINISHED
"Smart TV Samsung 43"" Crystal UHD 4K 2023 Painel Dynamic Crystal Color - UN43CU8000GXZD",1529,3149,1970.19,37671,194,1920.65,30167.31,173.69,1863.78,49040.01,221.45,FINISHED
Smartphone Samsung Galaxy M54 5G 128GB 8GB RAM 67'',1452.74,3351,1667.12,40784,202,1557.44,6626.29,81.4,1571.7,4080.91,63.88,FINISHED
Perfume Feminino Nina Rouge Nina Ricci EDT - 30ml,217.93,289,423.41,1198,35,445.17,799.6,28.28,436.17,0.66,0.81,FINISHED
